32,0.000103
64,0.000827
96,0.002882
128,0.006743
160,0.013166
192,0.022743
224,0.036090
256,0.062999
288,0.076635
320,0.105132
352,0.139081
384,0.184569
416,0.230086
448,0.287833
480,0.353016
512,0.588876
544,0.520477
576,0.633281
608,0.764234
640,0.899527
672,1.119969
704,1.327155
736,1.595994
768,1.616430
800,2.138264
832,2.441798
864,2.762406
896,2.644681
928,3.435957
960,3.818250
992,4.213914
1024,19.813816
1056,4.755066
1088,7.675167
1120,5.706399
1152,9.062711
1184,7.118819
1216,10.522668
1248,10.663250
1280,13.573661
1312,14.490253
1344,14.018516
1376,15.682383
1408,15.401934
1440,17.906333
1472,18.157290
1504,21.073190
1536,79.463205
1568,24.554682
1600,23.887031
1632,27.389435
1664,26.943951
1696,30.702393
1728,31.487680
1760,35.375396
1792,63.475980
1824,36.886208
1856,34.348935
1888,41.392998
1920,37.260891
1952,50.685721
1984,48.867479
2016,52.317651
2048,213.843969
