32,0.000343
64,0.001091
96,0.003740
128,0.009067
160,0.017680
192,0.030235
224,0.047648
256,0.071781
288,0.102147
320,0.137645
352,0.185914
384,0.237187
416,0.302808
448,0.377175
480,0.470516
512,0.569610
544,0.673119
576,0.804874
608,0.938590
640,1.105308
672,1.285772
704,1.476312
736,1.678032
768,1.900769
800,2.144545
832,2.433115
864,2.718024
896,3.023166
928,3.358590
960,3.688659
992,4.038125
1024,4.502815
1056,4.911664
1088,5.368730
1120,5.805175
1152,6.401241
1184,6.941520
1216,7.525709
1248,8.050771
1280,8.711430
1312,9.345695
1344,10.091523
1376,10.881512
1408,11.533331
1440,12.460547
1472,13.222367
1504,14.176922
1536,15.120740
1568,15.905385
1600,17.071379
1632,17.998862
1664,19.091267
1696,20.244681
1728,21.537577
1760,22.773065
1792,24.041778
1824,25.253636
1856,26.748424
1888,28.035290
1920,29.658716
1952,30.921381
1984,32.548592
2016,34.260191
2048,35.814032
